Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,A Local Peer to Peer Marketplace Tech Platform where Service Providers Offer a Pick Up and Delivery Laundry and Ironing Service,< 1,No,2,8,4,This will have a positive impact on our business as we are using home-based service providers and offering a service customers who if at home makes delivery easier,Increased,Increase > 50%,,,,,,,Launching next month,Other (please describe),Fishburners,New,New,New,New,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,Yes,,,,Yes,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,,,,,,Yes,,,Yes,,,,,,We will be offering out laundry services to NDIS clients in Sydney,,No,,No,9531A,Laundry and Dry-Cleaning Services,Retail and Personal Services,Personal Services,1
2000,Sydney,Cocktail Bar,> 10,No,5,2,6,Less visitation to the venue and less foot traffic in the CBD.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,Yes,,,,,Yes,Yes,,,,,,,,No,,Yes,4520A,Small Bar,"Tourist, Cultural and Leisure",Pubs & Clubs,2
2000,Sydney,Legal,> 10,No,2,,1,Nil impact on our business. Significant adverse impact on the economy.,Remained the same,Don't know,Yes,,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,Yes,Yes,,,,,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,Yes,,,,,,,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,3
2000,Sydney,Administrative Head Office,1 to 5,No,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6961,Corporate Head Office Management Services,Professional and Business Services,PBS - Business Services,4
2000,Sydney,Adult Education,> 10,No,2,3,5,?,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,5
2016,Redfern,Advertising and Marketing,> 10,No,35,,,"Staff all working remotely and have been for the past two years or more. Hard to maintain a sense of connection. This has had a very serious impact on our business; I can't really see this changing...",Remained the same,Decrease,,,,,Yes,,,Other (please describe),"The vast majority of our staff work remote; only a handful work from our office.",No change,No change,No change,No change,,,Yes,,,,,,,,,Yes,,,,,,,Yes,,,,,,,Yes,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,,,,,"I would like to get much more support for our business, and the building we work in, to be much more sustainable.",,,,,,,Yes,,,No,,Yes,6940,Advertising Services,Creative Industries,Creative Business,6
2000,Sydney,Advisory,> 10,No,2,2,,"It is more difficult to maintain a good culture, and coordinate actions irrespective of online tools for meetings. Nothing replaces in person and social side of business. This is the major impact on the economy too. We need people in the city to keep the city alive.",Remained the same,Increase,,,,,,Yes,Whilst capacity is increased it is a different more fragmented operational scene without the person to person contact and some income areas have dropped off including our live events and speaking.,Fully remote,,New,New,New,No change,Added a whole new stream of consulting servicing - writing books for others to adapt to loss of in-person and speaking events.,,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,Yes,,,,,,,,Yes,,,,,,,Building courses for mature people starting businesses and self-employment,Other (please describe),in person with post event digital resources,Better off,Better off,Worse off,,,,,,,we protect daintree rainforest whenever we onboard new clients,,,,,,,,one of my businesses is focussed on age inclusion and diversity,,No,,Yes,7299B,Marketing,Professional and Business Services,PBS - Business Services,7
2037,Glebe,Cafe,< 1,No,1,1,1,Less people walking past our store - less exposure. No foot traffic,Remained the same,Don't know,,Yes,,,Yes,,,Business premises,,No change,No change,No change,Improved/expanded,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,Yes,Yes,,,,,,1:1 mentoring,,Worse off,Better off,Better off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,Don't know,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,8
2000,Sydney,Restaurant,1 to 5,No,2,2,1,Less people attending lunch services as well as afternoon/evening during the week.,Decreased,Remain the same,Yes,Yes,,,,,Reduced menu,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,9
2007,Ultimo,Allied Health Services,> 10,No,,1,6,"Reduced traffic flow to the area, reducing our sales, reducing our income and whilst our expenses are increasing",Decreased,Don't know,,Yes,,,,,,Business premises,,Improved/expanded,Improved/expanded,Temporary,Improved/expanded,,,,,Yes,Yes,,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,Yes,,,,,,Yes,Yes,,,Yes,,,,No,,Yes,8539,Other Allied Health Services,Health,Health - Other Health Services,10
