,OBJECTID,response_id,response_date,q3_1_respondee_type_business_ow,q3_2_respondee_type_resident,q3_3_respondee_type_worker,q3_4_respondee_type_student,q3_5_respondee_type_visitor,q3_6_respondee_type_property_ow,q4_1_business_postcode,q4_2_business_type,q4_3_business_overview,q5_ATSI_business,q6_1_pre_covid_full_time_staff,q6_2_pre_covid_part_time_staff,q6_3_pre_covid_casual_staff,q6_4_pre_covid_contract_staff,q7_covid_impact_on_employment_l,q8_1_post_covid_full_time_staff,q8_2_post_covid_part_time_staff,q8_3_post_covid_casual_staff,q8_4_post_covid_contract_staff,q9_1_covid_impact_on_business_r,q9_2_covid_impact_on_business_i,q9_3_covid_impact_on_business_r,q9_4_covid_impact_on_business_i,q9_5_covid_impact_on_business_g,q9_6_covid_impact_on_business_d,q10_business_still_operating,q11_1_reason_for_business_closi,q11_2_reason_for_business_closi,q11_3_reason_for_business_closi,q11_4_reason_for_business_closi,q11_5_reason_for_business_closi,q11_6_reason_for_business_closi,q11_7_reason_for_business_closi,q11_8_reason_for_business_closi,q11_9_reason_for_business_closi,q11_10_reason_for_business_clos,q11_11_reason_for_business_clos,q11_12_reason_for_business_clos,q12_what_could_have_helped_busi,q13_how_long_can_business_remai,q14_1_change_made_to_business_e,q14_2_change_made_to_business_p,q14_3_change_made_to_business_d,q15_changes_made_to_business_ot,q16_collaborating_with_other_bu,q17_1_understanding_of_federal_,q17_2_understanding_of_state_go,q17_3_understanding_of_local_go,q18_not_seeking_support,q18_2_seeking_rent_relief_from_,q18_3_seeking_debt_relief_from_,q18_4_seeking_payroll_tax_relie,q18_5_seeking_jobkeeper_benefit,q18_6_seeking_tax_relief_from_f,q18_7_seeking_small_business_gr,q18_8_seeking_grant_support_fro,q18_9_seeking_unsecured_busines,q18_10_seeking_support_other,q19_1_undefined,q19_2_seeking_rent_relief_from_,q19_3_seeking_debt_relief_from_,q19_4_seeking_payroll_tax_relie,q19_5_seeking_jobkeeper_benefit,q19_6_seeking_tax_relief_from_f,q19_7_seeking_small_business_gr,q19_8_seeking_grant_support_fro,q19_9_seeking_unsecured_busines,q19_10_seeking_support_other_st,q20_1_potential_support_from_ci,q20_2_potential_support_from_ci,q20_3_potential_support_from_ci,q20_4_potential_support_from_ci,q20_5_potential_support_from_ci,q20_6_potential_support_from_ci,q20_7_potential_support_from_ci,q20_8_potential_support_from_ci,q20_9_potential_support_from_ci,q20_10_potential_support_from_c,q20_11_potential_support_from_c,q20_12_potential_support_from_c,q21_1_business_change_within_18,q21_2_business_change_within_18,q21_3_business_change_within_18,q21_4_business_change_within_18,q21_5_business_change_within_18,q21_6_business_change_within_18,q21_7_business_change_within_18,q21_8_business_change_within_18,q21_9_business_change_within_18,q21_10_business_change_within_1,q21_11_business_change_within_1,q21_12_business_change_within_1,q21_13_business_change_within_1,q21_14_business_change_within_1,q21_15_business_change_within_1,q22_business_viable_at_which_st,q23_sector_change_post_restrict,q29_covid_recovery_planning_add,q30_covid_recovery_planning_add,q31_1_covid_recovery_planning_a,q31_2_covid_recovery_planning_a,q31_3_covid_recovery_planning_a,q31_4_covid_recovery_planning_a,q31_5_covid_recovery_planning_a,q31_6_covid_recovery_planning_a,q31_7_covid_recovery_planning_a,q31_8_covid_recovery_planning_a,q31_9_covid_recovery_planning_a,q31_10_covid_recovery_planning_,q32_1_which_activities_would_yo,q32_2_which_activities_would_yo,q32_3_which_activities_would_yo,q32_4_which_activities_would_yo,q32_5_which_activities_would_yo,q32_6_which_activities_would_yo,q32_7_which_activities_would_yo,q32_8_which_activities_would_yo,q32_9_which_activities_would_yo,q32_10_which_activities_would_y,q32_11_which_activities_would_y,q32_12_which_activities_would_y,q32_13_which_activities_would_y,q32_14_which_activities_would_y,q32_15_which_activities_would_y,q32_16_which_activities_would_y,q32_17_which_activities_would_y,q32_18_which_activities_would_y,q32_19_which_activities_would_y,q33_1_are_there_any_positive_th,q33_2_are_there_any_positive_th,q33_3_are_there_any_positive_th,q33_4_are_there_any_positive_th,q33_5_are_there_any_positive_th,q33_6_are_there_any_positive_th,q33_7_are_there_any_positive_th,q34_1_how_soon_do_you_think_you,q34_2_how_soon_do_you_think_you,q34_3_how_soon_do_you_think_you,q34_4_how_soon_do_you_think_you,q34_5_how_soon_do_you_think_you,q34_6_how_soon_do_you_think_you,q34_7_how_soon_do_you_think_you,q34_8_how_soon_do_you_think_you,q34_9_how_soon_do_you_think_you,q34_10_how_soon_do_you_think_yo,q35_1_how_important_is_city_of_,q35_2_how_important_is_city_of_,q35_3_how_important_is_city_of_,q35_4_how_important_is_city_of_,q35_5_how_important_is_city_of_,q35_6_how_important_is_city_of_,q35_7_how_important_is_city_of_,q35_8_how_important_is_city_of_,q37_1_what_concerns_you_most_ab,q37_2_what_concerns_you_most_ab,q37_3_what_concerns_you_most_ab,q37_4_what_concerns_you_most_ab,q37_5_what_concerns_you_most_ab,q37_6_what_concerns_you_most_ab,q37_7_what_concerns_you_most_ab,q37_8_what_concerns_you_most_ab,q37_9_what_concerns_you_most_ab,q37_10_what_concerns_you_most_a,q37_11_what_concerns_you_most_a,q37_12_what_concerns_you_most_a,q37_13_what_concerns_you_most_a,q37_14_what_concerns_you_most_a,q37_15_what_concerns_you_most_a,q37_16_what_concerns_you_most_a,q37_17_what_concerns_you_most_a,q38_1_mostly_positive_changes,q38_2_mostly_negative_changes,q40_1_respondee_age_range,q40_2_respondee_identified_gend,q40_3_respondee_identify_as_a_p,q40_4_respondee_identify_as_abo,q41_respondee_home_postcode_sub,q42_respondee_current_place_of_,q43_respondee_current_place_of_,q44_respondee_speak_a_language_,q45_respondee_languages_spoken_,q48_final_comments,q4_1_2nd_business_postcode
1,2,202,18/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Hotel,No,12,2,30,0,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,None / NA,High,Some,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,Long term,No,Yes,No,no_response,no_response,Completely,Somewhat,Somewhat,no_response,no_response,no_response,Applied – awaiting outcome,Applied – successful,Applied – awaiting outcome,no_response,no_response,Applied – successful,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,Yes,No,No,No,No,No,Yes,Yes,No,no_response,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
8,9,209,18/05/2020,Yes,Yes,No,No,No,No,2000,Sole trader,International Student Recruitment,No,0,0,0,3,Borders closed No International Students,,,,0,High,High,High,High,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Not Applicable,Yes,Yes,no_response,no_response,Somewhat,Somewhat,Somewhat,no_response,Applied - successful,Not applied – not eligible,Not applied – not eligible,Applied – awaiting outcome,Not applied – not aware,Not required,Not required,Not required,no_response,no_response,Decrease in income,no_response,no_response,decrease in income,Not aware,No,unaware,no_response,no_response,Yes,No,Yes,No,No,No,No,Yes,No,No,No,no_response,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,NO,no_response
9,10,210,18/05/2020,Yes,No,Yes,No,No,No,2000,Unincorporated,Legal,No,3,0,1,0,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,None / NA,None / NA,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Yes,Yes,No,No,Mostly,Not at all,Not at all,no_response,no_response,no_response,no_response,Applied – successful,no_response,no_response,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,Yes,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
10,11,211,18/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Laundry & Dry Cleaning,No,3,1,7,0,Yes – I’ve let staff go,3,1,4,,High,None / NA,High,None / NA,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,No,Yes,No,Contact less deliveries / packaging,no_response,Mostly,Mostly,Somewhat,no_response,Applied - successful,Not required,Applied – successful,Applied – successful,Not applied – not aware,Applied – successful,Applied – awaiting outcome,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,Yes,Yes,No,No,No,No,No,No,No,no_response,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Stage 3: 100 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
12,13,213,18/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,IT business Services,No,4,1,1,0,No impact,,,,,Some,None / NA,Low,Some,Low,High,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,No,Yes,work from home for all employees,No,Completely,Mostly,Not at all,no_response,Not required,Applied – successful,Applied – successful,Applied – awaiting outcome,Not required,Not applied – not aware,Not applied – not aware,Applied – successful,no_response,no_response,no_response,no_response,no_response,no_response,no_response,not submitted a complex application,not aware,no_response,no_response,Yes,Yes,Yes,No,No,No,No,No,No,No,No,no_response,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Stage 3: 100 people,More business will be aware of the importance of IT as tool keep them viable and allow for productivity and innovation.,Yes,"Not being able to access important services such as doctors, physios, counselling etc ,Worrying about people who are important to me,Not being able to do activities that are important to me,Reduced access to the internet and online services and networks",No,No,No,No,No,No,No,No,No,no_response,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,no_response,No,No,Yes,Yes,No,No,Clean the house and sorted out junk,Immediately,Immediately,,,,,,Immediately,1-3 months,no_response,Important,Very important,Somewhat important,Very important,,Important,Important,,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,The role of media using disinformation for promoting undisclosed vested interest (aka Alan jones),"More digital, more caring about elderly","Loss of jobs, income, and housing.",50-59,Male,No,No,2046,"Semi-detached, terrace house, townhouse",Paying it off / mortgaged,Yes,Italian; Greek,no_response,no_response
13,14,214,18/05/2020,Yes,No,Yes,No,No,No,2036,"Incorporated not-for-profit (charity, social enterprise)",Junior sporting club,No,0,0,0,0,"We only have volunteers, no employees, and as the sport all stopped so did the organisation",0,0,0,0,High,Low,High,Low,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,No,Yes,Training sessions for kids sport moved to online,no_response,Not at all,Not at all,Not at all,Yes,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,Yes,No,No,No,No,No,No,No,No,No,Get the kids back to training,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Stage 3: 100 people,no_response,Yes,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
15,16,216,18/05/2020,Yes,Yes,No,No,No,No,2000,Incorporated for-profit,Our small business provides network and desktop to support to other small business (mostly within the CBD). We are a team of 6.,No,7,0,0,0,Yes – I’ve let staff go,6,0,0,0,High,None / NA,High,Some,Some,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Not Applicable,Yes,Yes,"We have reduced onsite visits by consultants to clients. Our staff are currently working from home. If staff need to make an emergency site visit, they take disposable gloves and drive to the site (rather than use public transport or taxi as was the norm previously). One staff member has taken extended annual leave, another has reduced hours.",No,Mostly,Somewhat,Somewhat,no_response,Applied - awaiting outcome,Applied – successful,Applied – successful,Applied – successful,Applied – successful,Not required,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,Yes,No,No,No,No,No,No,No,Have the ability to move our office into our residential address (also within 2000 post code) - to reduce business rent and give us the ability to keep our investment property,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not sure,"None really. Our IT business has clients in many sectors, so we are affected by their ability to stay viable.",Yes,"Not being able to pay basic living costs (bills, rent, rates, childcare, strata fees, and loans),Loss of income / employment,Worrying about the security of my job ,Worrying about people who are important to me,Stress from working from home,Concern about lack of support for managing strata communities in the pandemic and in recovery,IWhat the future holds, how long can I put off paying home loans and if our small business survives. Also, worrying about teenagers being able to find work after school.",Yes,No,Yes,No,No,No,Yes,No,No,Private health cover,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,Yes,No,Yes,Yes,No,no_response,4-6 months,4-6 months,,,,,,4-6 months,Immediately,no_response,Important,Important,Very important,Important,,Important,Very important,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,no_response,no_response,"Many businesses will fold, meaning other businesses attached to them will also feel hardship, or fold too.

 Climate change will become a large problem as we use more plastics and single-use products to keep ourselves protected from contaminated surfaces.",40-49,Female,No,No,Darlinghurst,"Semi-detached, terrace house, townhouse",Paying it off / mortgaged,No,no_response,"Thank you for taking the time to listen to City of Sydney residents, workers and business owners.",no_response
16,17,217,18/05/2020,Yes,No,No,No,No,No,2018,Incorporated for-profit,"Software sales and support for the construction, landscape and entertainment industries.",No,5,1,0,0,No impact,,,,,High,None / NA,High,None / NA,None / NA,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,Yes,No,Offered more online resources and more flexibility in how our software is installed and used.,No,Completely,Not Applicable,Mostly,no_response,Not required,Not required,Not required,Applied – awaiting outcome,Not applied – not aware,Not applied – not aware,Not required,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,Yes,No,No,No,No,No,No,no_response,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
21,22,222,18/05/2020,Yes,Yes,No,Yes,No,No,2010,Incorporated for-profit,Architectural services,No,1,0,0,0,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,None / NA,None / NA,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,No,No,No,Working from home.,no_response,Mostly,Somewhat,Not at all,no_response,Applied - awaiting outcome,Not applied – not aware,Not applied – not eligible,Applied – successful,Applied – awaiting outcome,Not applied – not aware,Not applied – not aware,Not applied – not eligible,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,No,No,No,Yes,No,Yes,No,No,No,no_response,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Not relevant,More public investment in infrastructure and housing.,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
22,23,223,18/05/2020,Yes,Yes,No,No,No,No,2009,Incorporated for-profit,Consulting and analytics,No,8,0,0,1,No impact,,,,,None / NA,None / NA,Low,Some,Some,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,Long term,No,Yes,Yes,"Remote working (WFH) and client meetings, increased promotional activity",Working with our clients on the impact of COVID on their businesses and management response.,Mostly,Somewhat,Not at all,no_response,no_response,no_response,no_response,no_response,Applied – successful,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Revenue impact will likely be 3 - 6 month lag so not eligible,no_response,no_response,no_response,no_response,no_response,No,No,Yes,No,No,Yes,No,No,No,No,Yes,",",No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Not relevant,no_response,Yes,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
